TestCases,Run
CashManagement,
CashMgmt_Safe_Assign,Y
CashMgmt_storeToStoreTransferAndVoid,Y
CashMgmt_Drawer_Assign_Safe_CashIn,Y
CashMgmt_InternalTransfer_Safe_ToDrawer,Y
CashMgmt_Drawer_Balance,Y
CashMgmt_Drawer_DeAssign,Y
CashMgmt_Safe_Balance,Y
CashMgmt_Safe_DepositAndVoid,Y
CashMgmt_Safe_manualDepositSlip,Y
CashMgmt_adminDrawerDessign,Y
CashMgmt_eodProcessing,Y
CashMgmt_adminProcessDateChange,Y
CashMgmt_adminEODBatchProcess,Y
CashMgmt_Safe_DeAssign,Y
LOCLoan,
Prerequest_EOD_BOD_CSR3,Y
LoanMgmt_LOC_Draw_ExistingCustomer,Y
LoanMgmt_LOC_Draw_NewCustomer,Y
LoanMgmt_LOC_VoidDraw_NewCustomer,Y
LoanMgmt_LOC_LoanFunding_Cash,Y
LoanMgmt_LOC_LoanFunding_Check,Y
LoanMgmt_LOC_LoanFunding_ACH,Y
LoanMgmt_LOC_LoanPayments_Cash,Y
LoanMgmt_LOC_LoanPayments_VoidPayment,Y
LoanMgmt_LOC_LoanPayments_Check,Y
LoanMgmt_LOC_LoanPayments_Moneyorders,Y
LoanMgmt_LOC_LoanPayments_PayOff,Y
LoanMgmt_LOC_LoanPayments_LOCClosure,Y
LoanMgmt_LOC_Cancel,Y
LoanMgmt_LOC_LoanPayments_PaymentAtOtherCenter,Y
LoanMgmt_LOC_LoanStatus_Delinquent_Status,Y
LoanMgmt_LOC_LoanStatus_Cure_Status,Y
LoanMgmt_LOC_LoanStatus_DefaultStatus,Y
LoanMgmt_LOC_LoanStatus_WriteOffStatus,Y
LoanMgmt_LOC_LoanStatus_Delinquent_Status,Y
LoanMgmt_LOC_LoanStatus_Cure_Status,Y
LoanMgmt_LOC_LoanStatus_DefaultStatus,Y
LoanMgmt_LOC_LoanPayments_PaymentWhileinDefault,Y
Payday,
Test_AnotherStore_SafeAndDrawerDessign,Y
Prerequest_EOD_BOD_CSR2,Y
LoanMgmt_Payday_Origination_ExistingCustomer,Y
LoanMgmt_Payday_Origination_NewCustomer,Y
LoanMgmt_Payday_VoidOrigination_NewCustomer,Y
LoanMgmt_Payday_RescindOrigination_NewCustomer,Y
LoanMgmt_Payday_LoanFunding_Cash,Y
LoanMgmt_Payday_LoanFunding_Check,Y
LoanMgmt_Payday_LoanPayments_Cash,Y
LoanMgmt_Payday_LoanPayments_VoidPayment,Y
LoanMgmt_Payday_LoanPayments_PartialPayment,Y
LoanMgmt_Payday_LoanPayments_VoidPartialPayment,Y
LoanMgmt_Payday_LoanPayments_Moneyorders,Y
LoanMgmt_Payday_LoanPayments_ACHPrePayment,Y
LoanMgmt_Payday_LoanPayments_Overpayment,Y
LoanMgmt_Payday_LoanPayments_Refund,Y
LoanMgmt_Payday_LoanPayments_VoidRefund,Y
LoanMgmt_Payday_LoanStatus_RPP_Enrollment,Y
LoanMgmt_Payday_LoanStatus_RPP_Payment,Y
LoanMgmt_Payday_LoanStatus_RPP_PartialPayment,Y
LoanMgmt_Payday_LoanStatus_RPP_PaymentAtOtherCenter,Y
LoanMgmt_Payday_LoanStatus_RPP_VoidEnrollment,Y
LoanMgmt_Payday_LoanStatus_RPP_VoidPayment,Y
LoanMgmt_Payday_LoanStatus_RPP_Default,Y
LoanMgmt_Payday_LoanStatus_RPP_ACHStatus,Y
Negative,
Neg_CashMgmt_CashIn_NoSafeAssigned,Y
Neg_CashMgmt_SafeAssign_AlreadyAssigned_Error,Y
Neg_CashMgmt_SafeBalance_BankerPINInvalid_Error,Y
Neg_CashMgmt_SafeDeAssign_BankerPINInvalid_Error,Y
Neg_CashMgmt_DrawerAssign_AlreadyAssigned_Error,Y
Neg_CashMgmt_DrawerBalance_InvalidUserPIN_Error,Y
Neg_CashMgmt_DrawerDeAssign_InvalidUserPIN_Error,Y
Neg_LoanMgmt_Origination_TLP_GreaterFundAmt,Y
Neg_LoanMgmt_Origination_TLP_TwoFundsAmt,Y
Neg_LoanMgmt_Payment_TLP_NoPaymentType,Y
Neg_LoanMgmt_Payment_TLP_NoTenderType,Y
Neg_LoanMgmt_Payment_TLP_NoTenderAmt,Y
Neg_LoanMgmt_Payment_TLP_NoPIN,Y
Neg_LoanMgmt_Void_TLP_Neg_DisbType,Y
Neg_LoanMgmt_Void_TLP_Neg_NoPIN,Y
Neg_LoanMgmt_TL_Neg_Rescind_NoPIN,Y
Neg_LoanMgmt_TL_Neg_Void_DisbType,Y
Neg_LoanMgmt_TL_Neg_Void_NoPIN,Y
Neg_LoanMgmt_Payment_PDL_BlanckPaymentAmount,Y
Neg_LoanMgmt_Payment_PDL_BlanckTenderType,Y
Neg_LoanMgmt_Payment_PDL_BlanckTenderAmount,Y
Neg_LoanMgmt_Payment_PDL_MoreThanLoanAmount,Y
Neg_LoanMgmt_Payment_PDL_BlanckBothTenderType,Y
Neg_LoanMgmt_Payment_PDL_BlanckBothTenderAmount,Y
Neg_LoanMgmt_Payment_PDL_RPP_BlanckPaymentAmount,Y
Neg_LoanMgmt_Payment_PDL_RPP_BlanckTenderType,Y
Neg_LoanMgmt_Payment_PDL_RPP_BlanckTenderAmount,Y
Neg_LoanMgmt_Payment_PDL_RPP_ZeroPaymentAmount,Y
Neg_LoanMgmt_LOC_Cancel,Y
Neg_LoanMgmt_LOC_Originate_Neg_Cancel,Y
Neg_LoanMgmt_LOC_Originate,Y
Neg_LoanMgmt_LOC_Originate_Cancel,Y
Neg_LoanMgmt_LOC_Originate_BlankPin,Y
Neg_LoanMgmt_LOC_Originate_InvalidPin,Y
Neg_LoanMgmt_LOC_Originate_Neg_Pin,Y
Neg_LoanMgmt_LOC_Originate_NoLoan,Y
Neg_LoanMgmt_LOC_Originate_NoDraw,Y
Neg_LoanMgmt_LOC_Draw_eDoc_Yes,Y
Neg_LoanMgmt_LOC_Draw_eDoc_Blank,Y
Neg_LoanMgmt_LOC_Draw_MethodOfPay_Blank,Y
Neg_LoanMgmt_LOC_Draw_DisbAmt_Blank,Y
Neg_LoanMgmt_LOC_Draw_DisbAmt_Zero,Y
Neg_LoanMgmt_LOC_Draw_DisbAmt_LessThanZero,Y
Neg_LoanMgmt_LOC_Draw_DisbAmt_Decimal,Y
Neg_LoanMgmt_LOC_Draw_DisbAmtLessThanDrawAmt,Y
Neg_LoanMgmt_LOC_Draw_DisbAmtMoreThanDrawAmt,Y
Neg_LoanMgmt_LOC_Draw_Pin_Blank,Y
Neg_LoanMgmt_LOC_Draw_Pin_Invalid,Y
Neg_LoanMgmt_LOC_Draw_Pin_Char,Y
Neg_LoanMgmt_LOC_Draw_Pin_SplChar,Y
Neg_LoanMgmt_LOC_Payments_PreRequisite,Y
Neg_LoanMgmt_LOC_Payment_PayAmt_Blank,Y
Neg_LoanMgmt_LOC_Payment_PayAmt_SplChr,Y
Neg_LoanMgmt_LOC_Payment_PayAmt_Zero,Y
Neg_LoanMgmt_LOC_Payment_PayAmt_LessThanZero,Y
Neg_LoanMgmt_LOC_Payment_PayAmt_Modify,Y
Neg_LoanMgmt_LOC_Payment_TenderType_Blank,Y
Neg_LoanMgmt_LOC_Payment_TenderAmt_Blank,Y
Neg_LoanMgmt_LOC_Payment_TenderAmt_SplChr,Y
Neg_LoanMgmt_LOC_Payment_TenderAmt_Zero,Y
Neg_LoanMgmt_LOC_Payment_TenderAmt_LessThanZero,Y
Neg_LoanMgmt_LOC_Payment_PayAmtTenderAmt_Decimal,Y
Neg_LoanMgmt_LOC_Payment_TenderAmt_LessThan_PayAmt,Y
Neg_LoanMgmt_LOC_Payment_TenderAmt_MoreThan_PayAmt,Y
Neg_LoanMgmt_LOC_Payment_Pin_Blank,Y
Neg_LoanMgmt_LOC_Payment_Pin_Incorrect,Y
Neg_LoanMgmt_LOC_PayOff_PreRequisite,Y
Neg_LoanMgmt_LOC_PayOff_TenderType_Blank,Y
Neg_LoanMgmt_LOC_PayOff_TenderAmt_Blank,Y
Neg_LoanMgmt_LOC_PayOff_TenderAmt_SplChr,Y
Neg_LoanMgmt_LOC_PayOff_TenderAmt_Zero,Y
Neg_LoanMgmt_LOC_PayOff_TenderAmt_More,Y
Neg_LoanMgmt_LOC_PayOff_TenderAmt_LessThanZero,Y
Neg_LoanMgmt_LOC_PayOff_PayAmt_LessThan_TenderAmt,Y
Neg_LoanMgmt_LOC_PayOff_PayAmt_MoreThan_TenderAmt,Y
Neg_LoanMgmt_LOC_PayOff_Pin_Blank,Y
Neg_LoanMgmt_LOC_PayOff_Pin_Incorrect,Y
Neg_LoanMgmt_LOC_LOCClosure_PreRequisite,Y
Neg_LoanMgmt_LOC_LOCClosure_Pin_Blank,Y
Neg_LoanMgmt_LOC_LOCClosure_Pin_Incorrect,Y
